Name,URL
Павло Загребельний,https://uk.wikipedia.org/wiki/%D0%97%D0%B0%D0%B3%D1%80%D0%B5%D0%B1%D0%B5%D0%BB%D1%8C%D0%BD%D0%B8%D0%B9_%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE_%D0%90%D1%80%D1%85%D0%B8%D0%BF%D0%BE%D0%B2%D0%B8%D1%87
Віктор Шовкун,https://uk.wikipedia.org/wiki/%D0%A8%D0%BE%D0%B2%D0%BA%D1%83%D0%BD_%D0%92%D1%96%D0%BA%D1%82%D0%BE%D1%80_%D0%99%D0%BE%D1%81%D0%B8%D0%BF%D0%BE%D0%B2%D0%B8%D1%87
Михайло Грушевський,https://uk.wikipedia.org/wiki/%D0%93%D1%80%D1%83%D1%88%D0%B5%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE_%D0%A1%D0%B5%D1%80%D0%B3%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87
Іван Франко,https://uk.wikipedia.org/wiki/%D0%A4%D1%80%D0%B0%D0%BD%D0%BA%D0%BE_%D0%86%D0%B2%D0%B0%D0%BD_%D0%AF%D0%BA%D0%BE%D0%B2%D0%B8%D1%87
Анатоль Перепадя,https://uk.wikipedia.org/wiki/%D0%9F%D0%B5%D1%80%D0%B5%D0%BF%D0%B0%D0%B4%D1%8F_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%8C_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87
Наталя Тисовська,https://uk.wikipedia.org/wiki/%D0%A2%D0%B8%D1%81%D0%BE%D0%B2%D1%81%D1%8C%D0%BA%D0%B0_%D0%9D%D0%B0%D1%82%D0%B0%D0%BB%D1%8F_%D0%86%D0%B3%D0%BE%D1%80%D1%96%D0%B2%D0%BD%D0%B0
Євген Попович,https://uk.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BF%D0%BE%D0%B2%D0%B8%D1%87_%D0%84%D0%B2%D0%B3%D0%B5%D0%BD_%D0%9E%D0%BA%D1%81%D0%B5%D0%BD%D1%82%D0%BE%D0%B2%D0%B8%D1%87
Олекса Логвиненко,https://uk.wikipedia.org/wiki/%D0%9B%D0%BE%D0%B3%D0%B2%D0%B8%D0%BD%D0%B5%D0%BD%D0%BA%D0%BE_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D1%96%D0%B9_%D0%9F%D0%BE%D1%82%D0%B0%D0%BF%D0%BE%D0%B2%D0%B8%D1%87
Валерій Шевчук,https://uk.wikipedia.org/wiki/%D0%A8%D0%B5%D0%B2%D1%87%D1%83%D0%BA_%D0%92%D0%B0%D0%BB%D0%B5%D1%80%D1%96%D0%B9_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87
Андрій Кокотюха,https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BA%D0%BE%D1%82%D1%8E%D1%85%D0%B0_%D0%90%D0%BD%D0%B4%D1%80%D1%96%D0%B9_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87
Леся Українка,https://uk.wikipedia.org/wiki/%D0%9B%D0%B5%D1%81%D1%8F_%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%BA%D0%B0
